OPEN_TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,QUOTE_ASSET_VOLUME,NUMBER_OF_TRADES,TAKER_BUY_BASE_ASSET_VOLUME,TAKER_BUY_QUOTE_ASSET_VOLUME,crypto
2018-05-10 04:00:00,0.7961,0.80188,0.79455,0.79957,243774.55,194364.4158864,678,85376.12999999999,68138.25312000001,XRPUSDT
2018-05-10 05:00:00,0.79955,0.80572,0.79445,0.79487,464477.14,371121.4282197,899,243183.77,194450.30830920002,XRPUSDT
2018-05-10 06:00:00,0.794,0.798,0.78497,0.79021,407345.18,322000.68685299996,1009,205294.35,162303.6825034,XRPUSDT
2018-05-10 07:00:00,0.79063,0.80126,0.79063,0.80094,274318.97,218576.25519650002,685,191085.37,152350.5965757,XRPUSDT
2018-05-10 08:00:00,0.80094,0.80194,0.79743,0.799,282789.15,225961.3919964,535,105934.13,84715.2961061,XRPUSDT
2018-05-10 09:00:00,0.79919,0.79979,0.7944,0.7966,446238.44,355861.2847521,560,114065.3,90941.2236749,XRPUSDT
2018-05-10 10:00:00,0.79465,0.79899,0.79125,0.797,396544.04,315196.8043223,617,186642.21,148613.8168818,XRPUSDT
2018-05-10 11:00:00,0.79706,0.79851,0.7919,0.79552,289739.37,230531.6970687,522,73732.2,58654.6582523,XRPUSDT
2018-05-10 12:00:00,0.79552,0.7966,0.7922,0.79594,125428.78,99654.448779,366,43860.45,34846.0861815,XRPUSDT
2018-05-10 13:00:00,0.79594,0.805,0.7925,0.80021,399507.82,319482.8751552,803,174102.3,139407.4500863,XRPUSDT
2018-05-10 14:00:00,0.80029,0.80253,0.796,0.799,158178.88,126379.5912691,482,72063.81,57596.2700809,XRPUSDT
2018-05-10 15:00:00,0.79773,0.802,0.79649,0.80189,225974.38,180952.67703979998,406,116935.54,93626.9101413,XRPUSDT
2018-05-10 16:00:00,0.80017,0.803,0.79807,0.80079,258771.18,207262.9700926,524,105506.70999999999,84556.2077173,XRPUSDT
2018-05-10 17:00:00,0.8,0.80078,0.769,0.78063,1777756.49,1389337.0345806,3123,806912.21,630386.8363535,XRPUSDT
2018-05-10 18:00:00,0.78063,0.78177,0.7703,0.77586,686553.91,531633.3157672,1336,365844.92,283305.6379652,XRPUSDT
2018-05-10 19:00:00,0.77585,0.77747,0.769,0.76976,611582.72,471639.6846642,1084,299236.07,230669.3902229,XRPUSDT
2018-05-10 20:00:00,0.76976,0.77488,0.76861,0.77,375617.38,289087.7500014,682,133008.93,102431.0197598,XRPUSDT
2018-05-10 21:00:00,0.77,0.775,0.76886,0.77167,209021.99,161443.9600573,386,110234.06,85195.6282691,XRPUSDT
2018-05-10 22:00:00,0.77117,0.77284,0.76513,0.76673,295371.3,226936.0011369,725,123659.58,95050.8023764,XRPUSDT
2018-05-10 23:00:00,0.76673,0.76963,0.74085,0.74558,1064548.88,800931.1515544,2081,426445.19000000006,320653.405962,XRPUSDT
2018-05-11 00:00:00,0.7492,0.7492,0.725,0.73721,1441615.79,1057430.815635,2741,622219.56,456245.60132240003,XRPUSDT
2018-05-11 01:00:00,0.73724,0.74814,0.73151,0.73747,842784.94,624725.282156,1268,357005.74,264649.6182767,XRPUSDT
2018-05-11 02:00:00,0.73961,0.751,0.73713,0.7394,484524.65,360757.8622051,900,252314.89,188043.5483939,XRPUSDT
2018-05-11 03:00:00,0.73937,0.74553,0.73846,0.741,284593.52,210842.4344041,614,84737.18,62771.3432761,XRPUSDT
2018-05-11 04:00:00,0.741,0.75074,0.739,0.747,562750.0800000001,419962.5010083,840,188637.03,140542.3496976,XRPUSDT
2018-05-11 05:00:00,0.7465,0.75602,0.74514,0.75602,1385489.49,1041796.1836472,1270,316477.08,238016.8309752,XRPUSDT
2018-05-11 06:00:00,0.756,0.75602,0.711,0.711,955346.56,701144.2291056999,2361,355497.70999999996,259433.5072184,XRPUSDT
2018-05-11 07:00:00,0.711,0.72,0.6511,0.66352,3901133.32,2663173.242354,5704,1570994.66,1069371.535766,XRPUSDT
2018-05-11 08:00:00,0.66356,0.71497,0.663,0.689,3034713.57,2092634.8690362,4381,1668539.51,1149904.2176315999,XRPUSDT
2018-05-11 09:00:00,0.69071,0.69109,0.66021,0.67456,1353353.28,911255.0916967,2349,583807.91,392171.829427,XRPUSDT
2018-05-11 10:00:00,0.67464,0.6969,0.66858,0.671,1985605.7,1353098.4699821,2501,983612.24,666164.9160547999,XRPUSDT
2018-05-11 11:00:00,0.6739,0.6824,0.66,0.66197,1543182.1099999999,1033975.0934128,2070,596890.14,401233.4680253,XRPUSDT
2018-05-11 12:00:00,0.66194,0.67226,0.64758,0.66566,3464501.4299999997,2268911.3205263,4062,2079602.55,1360266.4723576,XRPUSDT
2018-05-11 13:00:00,0.66571,0.679,0.659,0.66586,1605072.1300000001,1074571.4532308,2473,732007.3099999999,490009.385904,XRPUSDT
2018-05-11 14:00:00,0.66586,0.70759,0.66579,0.7,2222487.45,1530676.5705034,3240,1058019.9100000001,728292.0311395,XRPUSDT
2018-05-11 15:00:00,0.7,0.70095,0.678,0.68629,1203603.49,831927.6231548999,2306,493018.43,339987.7534738,XRPUSDT
2018-05-11 16:00:00,0.68629,0.703,0.68422,0.699,914094.5800000001,633352.0122471,1708,664498.09,460474.347072,XRPUSDT
2018-05-11 17:00:00,0.69901,0.7067,0.6851,0.69178,624452.89,435703.5052359,1629,250101.33,174622.9709495,XRPUSDT
2018-05-11 18:00:00,0.6902,0.70138,0.6865,0.69571,386953.52,267770.0546012,1022,210628.43,146043.4454429,XRPUSDT
2018-05-11 19:00:00,0.69418,0.703,0.69214,0.69491,324063.26,226443.99925330002,898,230096.71,160966.9310872,XRPUSDT
2018-05-11 20:00:00,0.69483,0.69984,0.6702,0.6742,852556.78,580554.3223778,1795,423275.49,287786.1425899,XRPUSDT
2018-05-11 21:00:00,0.6742,0.6783,0.655,0.66754,1000015.86,666918.8215888,1669,498274.97,332530.7190042,XRPUSDT
2018-05-11 22:00:00,0.66876,0.68498,0.66676,0.67734,606939.88,411523.7541667,1558,279235.48,189402.4610266,XRPUSDT
2018-05-11 23:00:00,0.67733,0.684,0.67093,0.6761,312645.76,212188.5383267,889,212561.32,144294.8616656,XRPUSDT
2018-05-12 00:00:00,0.67376,0.69061,0.67376,0.687,407528.08999999997,279466.8406361,1080,153709.9,105411.36608450001,XRPUSDT
2018-05-12 01:00:00,0.68798,0.68833,0.67689,0.683,202497.29,138261.7871129,625,76589.22,52328.2744993,XRPUSDT
2018-05-12 02:00:00,0.6838,0.69,0.68326,0.68504,183199.87,125671.976008,587,110835.21,76020.18084639999,XRPUSDT
2018-05-12 03:00:00,0.68609,0.68899,0.6709,0.6781,470552.95,320299.7871641,1075,258632.35,176226.784582,XRPUSDT
2018-05-12 04:00:00,0.67702,0.683,0.67437,0.67549,202213.91999999998,137233.2131284,529,79060.56999999999,53721.4020006,XRPUSDT
2018-05-12 05:00:00,0.67437,0.67796,0.6478,0.64945,979276.62,643223.2588038,2058,349524.68,229357.475572,XRPUSDT
2018-05-12 06:00:00,0.64787,0.654,0.62519,0.648,1727725.54,1102926.6764752,3076,716984.51,458660.3063436,XRPUSDT
2018-05-12 07:00:00,0.648,0.66375,0.6385,0.66101,768042.7,500983.5067604,1429,280301.53,182928.7746291,XRPUSDT
2018-05-12 08:00:00,0.66101,0.66101,0.64301,0.6445,650509.17,424073.0337932,1151,288310.5,187652.1183579,XRPUSDT
2018-05-12 09:00:00,0.6445,0.6847,0.64089,0.6807,918122.87,609128.1626135,1653,490319.51999999996,324630.0505223,XRPUSDT
2018-05-12 10:00:00,0.6807,0.704,0.6751,0.70295,1814859.36,1248270.6528434,2758,746124.47,514293.0371831,XRPUSDT
2018-05-12 11:00:00,0.70295,0.705,0.6797,0.69098,1190620.15,821484.0544543,1962,515341.7,355554.4996658,XRPUSDT
2018-05-12 12:00:00,0.69098,0.71,0.69098,0.70217,1107023.39,775004.9609196,1995,508960.62,357010.6809635,XRPUSDT
2018-05-12 13:00:00,0.70221,0.70602,0.679,0.679,890335.31,615924.5966928,1770,330626.15,228975.9677544,XRPUSDT
2018-05-12 14:00:00,0.679,0.6871,0.67,0.67816,1169650.53,790582.5239223,2049,521287.16,352577.6116661,XRPUSDT
